Class	Caption	Summary
471	Classical Latin writing & phonology	3
472	Classical Latin etymology	3
473	Classical Latin dictionaries	3
474	[Unassigned]	3
475	Classical Latin grammar	3
476	[Unassigned]	3
477	"Old, postclassical & Vulgar Latin"	3
478	Classical Latin usage	3
479	Other Italic languages	3
480	Hellenic languages; classical Greek	3
481	Classical Greek writing & phonology	3
482	Classical Greek etymology	3
483	Classical Greek dictionaries	3
484	[Unassigned]	3
485	Classical Greek grammar	3
486	[Unassigned]	3
487	Preclassical & postclassical Greek	3
488	Classical Greek usage	3
489	Other Hellenic languages	3
490	Other languages	3
491	East Indo-European & Celtic languages	3
492	Afro-Asiatic languages; Semitic languages	3
493	Non-Semitic Afro-Asiatic languages	3
494	"Altaic, Uralic, Hyperborean & Dravidian"	3
495	Languages of East & Southeast Asia	3
496	African languages	3
497	North American native languages	3
498	South American native languages	3
499	Austronesian & other languages	3
500	Natural sciences & mathematics	3
501	Philosophy & theory	3
502	Miscellany	3
503	Dictionaries & encyclopedias	3
504	[Unassigned]	3
505	Serial publications	3
506	Organizations & management	3
507	"Education, research & related topics"	3
508	Natural history	3
509	"Historical, geographic & persons treatment"	3
510	Mathematics	3
511	General principles of mathematics	3
512	Algebra	3
513	Arithmetic	3
514	Topology	3
515	Analysis	3
516	Geometry	3
517	[Unassigned]	3
518	Numerical analysis	3
519	Probabilities & applied mathematics	3
520	Astronomy & allied sciences	3
521	Celestial mechanics	3
522	"Techniques, equipment & materials"	3
523	Specific celestial bodies & phenomena	3
524	[Unassigned]	3
525	Earth (Astronomical geography)	3
526	Mathematical geography	3
527	Celestial navigation	3
528	Ephemerides	3
529	Chronology	3
530	Physics	3
531	Classical mechanics; solid mechanics	3
532	Fluid mechanics; liquid mechanics	3
533	Gas mechanics	3
534	Sound & related vibrations	3
535	Light & infrared & ultraviolet phenomena	3
536	Heat	3
537	Electricity & electronics	3
538	Magnetism	3
539	Modern physics	3
540	Chemistry & allied sciences	3
541	Physical chemistry	3
542	"Techniques, equipment & materials"	3
543	Analytical chemistry	3
544	[Unassigned]	3
545	[Unassigned]	3
546	Inorganic chemistry	3
547	Organic chemistry	3
548	Crystallography	3
549	Mineralogy	3
550	Earth sciences	3
551	"Geology, hydrology & meteorology"	3
552	Petrology	3
553	Economic geology	3
554	Earth sciences of Europe	3
555	Earth sciences of Asia	3
556	Earth sciences of Africa	3
557	Earth sciences of North America	3
558	Earth sciences of South America	3
559	Earth sciences of other areas	3
560	Paleontology; paleozoology	3
561	Paleobotany; fossil microorganisms	3
562	Fossil invertebrates	3
563	Fossil marine & seashore invertebrates	3
564	Fossil mollusks & molluscoids	3
565	Fossil arthropods	3
566	Fossil chordates	3
567	Fossil cold-blooded vertebrates; fossil fishes	3
568	Fossil birds	3
569	Fossil mammals	3
570	Life sciences; biology	3
571	Physiology & related subjects	3
572	Biochemistry	3
573	Specific physiological systems in animals	3
574	[Unassigned]	3
575	Specific parts of & systems in plants	3
576	Genetics & evolution	3
577	Ecology	3
578	Natural history of organisms	3
579	"Microorganisms, fungi & algae"	3
580	Plants (Botany)	3
581	Specific topics in natural history	3
582	Plants noted for characteristics & flowers	3
583	Dicotyledons	3
584	Monocotyledons	3
585	Gymnosperms; conifers	3
586	Seedless plants	3
587	Vascular seedless plants	3
588	Bryophytes	3
589	[Unassigned]	3
590	Animals (Zoology)	3
591	Specific topics in natural history	3
592	Invertebrates	3
593	Marine & seashore invertebrates	3
594	Mollusks & molluscoids	3
595	Arthropods	3
596	Chordates	3
597	Cold-blooded vertebrates; fishes	3
598	Birds	3
599	Mammals	3
600	Technology	3
601	Philosophy & theory	3
602	Miscellany	3
603	Dictionaries & encyclopedias	3
604	Special topics	3
605	Serial publications	3
606	Organizations	3
607	"Education, research & related topics"	3
608	Inventions & patents	3
609	"Historical, geographic & persons treatment"	3
610	Medicine & health	3
611	"Human anatomy, cytology & histology"	3
612	Human physiology	3
613	Personal health & safety	3
614	Incidence & prevention of disease	3
615	Pharmacology & therapeutics	3
616	Diseases	3
617	Surgery & related medical specialties	3
618	"Gynecology, obstetrics, pediatrics & geriatrics"	3
619	[Unassigned]	3
620	Engineering & allied operations	3
621	Applied physics	3
622	Mining & related operations	3
623	Military & nautical engineering	3
624	Civil engineering	3
625	Engineering of railroads & roads	3
626	[Unassigned]	3
627	Hydraulic engineering	3
628	Sanitary & municipal engineering	3
629	Other branches of engineering	3
630	Agriculture & related technologies	3
631	"Techniques, equipment & materials"	3
632	"Plant injuries, diseases & pests"	3
633	Field & plantation crops	3
634	"Orchards, fruits & forestry"	3
635	Garden crops (Horticulture)	3
636	Animal husbandry	3
637	Processing dairy & related products	3
638	Insect culture	3
639	"Hunting, fishing & conservation"	3
640	Home & family management	3
641	Food & drink	3
642	Meals & table service	3
643	Housing & household equipment	3
644	Household utilities	3
645	Household furnishings	3
646	"Sewing, clothing & personal living"	3
647	Management of public households	3
